,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
4996,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,11:42:35,12,VILLA PUEYRREDON,,5141.0,-34.5796753344455,-58.501035956855496,GCS Web,Femenino,Abierto,,
4997,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,08:46:16,13,BELGRANO,,1841.0,-34.5638971093883,-58.453573651525495,GCS Web,Femenino,Abierto,,
4998,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,00:09:12,3,BALVANERA,,475.0,-34.6036517090812,-58.3994944824245,App BA 147,Femenino,Abierto,,
4999,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-12-22,06:25:45,6,CABALLITO,,2036.0,-34.6128509883663,-58.456640402698,App BA 147,Masculino,Abierto,,
5000,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,07:30:35,12,VILLA URQUIZA,,5102.0,-34.5715284805492,-58.4892497382487,App BA 147,Masculino,Cerrado,22/12/2021,00:00:00
5001,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,13:24:50,13,BELGRANO,,1841.0,-34.5638971093883,-58.453573651525495,App BA 147,Masculino,Abierto,,
5002,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,07:27:55,7,FLORES,,64.0,-34.6279840225566,-58.4573466734473,GCS Web,Femenino,Abierto,,
5003,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,08:53:47,15,CHACARITA,,640.0,-34.5848601430718,-58.454368962421206,App BA 147,Femenino,Abierto,,
5004,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,08:16:39,14,PALERMO,,4454.0,-34.5886416334969,-58.4228577082424,App BA 147,Femenino,Abierto,,
5005,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,11:08:42,13,BELGRANO,,2567.0,-34.549726383453105,-58.4471070517727,GCS Web,Masculino,Cerrado,22/12/2021,00:00:00
