,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
3056,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-19,15:38:29,12,SAAVEDRA,CABILDO AV.,4392.0,-34.5440333375048,-58.4721038768749,App BA 147,Femenino,Cerrado,20/08/2021,00:00:00
3057,RECICLADO Y PROTECCIÓN AMBIENTAL,CONTROL AMBIENTAL,CONSULTA TÉCNICA SOBRE TRAMITES DE INSCRIPCIÓN EN EL REGISTRO DE ACTIVIDADES CATALOGADAS COMO POTENCIALMENTE CONTAMINANTES POR RUIDOS Y VIBRACIONES (RAC),Solicitud,2021-08-19,17:38:13,3,BALVANERA,REPUBLICA BOLIVARIANA DE VENEZUELA,2040.0,-34.6152290454849,-58.3952104391911,GCS Web,Femenino,Cerrado,20/08/2021,00:00:00
3058,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-08-19,17:48:16,10,MONTE CASTRO,CERVANTES,1600.0,-34.6245469538075,-58.5057139578594,GCS Web,Femenino,Cerrado,20/08/2021,00:00:00
3059,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,09:42:04,12,VILLA URQUIZA,MENDOZA AV.,5140.0,-34.5775331761863,-58.4841204667921,App BA 147,Masculino,Cerrado,27/08/2021,00:00:00
3060,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,13:16:57,13,COLEGIALES,AMENABAR,1501.0,-34.5682685178353,-58.4534203900235,App BA 147,Femenino,Cerrado,23/08/2021,00:00:00
3061,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,18:40:36,2,RECOLETA,JUNIN,1390.0,-34.591997241101,-58.3962602588112,GCS Web,Masculino,Cerrado,20/08/2021,00:00:00
3062,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,15:24:41,5,BOEDO,ALZAGA,,-34.635025721217,-58.4152099621358,GCS Web,Masculino,Cerrado,20/08/2021,00:00:00
3063,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-19,10:58:40,12,SAAVEDRA,CABILDO AV.,,-34.5438186239094,-58.4720947132851,App BA 147,Masculino,Cerrado,20/08/2021,00:00:00
3064,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,13:08:13,12,VILLA URQUIZA,IBERA,5083.0,-34.5668696249647,-58.4905575681835,GCS Web,Femenino,Abierto,,
3065,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,12:48:04,10,MONTE CASTRO,"GARCIA, JUAN AGUSTIN",4055.0,-34.6179492871262,-58.4941501588133,GCS Web,Masculino,Abierto,,
3066,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,19:45:10,1,MONSERRAT,MEXICO,524.0,-34.6149093461655,-58.3736663175137,GCS Web,Masculino,Abierto,,
3067,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,09:34:30,13,NUÑEZ,"PEDRAZA, MANUELA",1901.0,-34.5488516736374,-58.4617615930022,GCS Web,Masculino,Abierto,,
3068,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,20:13:26,5,ALMAGRO,BULNES,1048.0,-34.5992513465182,-58.417710202718,GCS Web,Masculino,Abierto,,
3069,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,15:29:50,3,BALVANERA,SARMIENTO,2976.0,-34.6067060632599,-58.4083249354938,GCS Web,Femenino,Abierto,,
3070,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-08-20,00:44:47,13,BELGRANO,CABILDO AV.,2287.0,-34.5602535283733,-58.4580560743259,GCS Web,Femenino,Abierto,,
3071,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,23:08:46,14,PALERMO,GODOY CRUZ,1772.0,-34.5869993358441,-58.4332651235684,App BA 147,Femenino,Abierto,,
3072,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,08:00:08,6,CABALLITO,HIDALGO,768.0,-34.6106190593767,-58.4410753101797,App BA 147,Masculino,Abierto,,
3073,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,21:30:09,5,ALMAGRO,LAVALLE,3946.0,-34.5986148193122,-58.4211138429855,App BA 147,Masculino,Abierto,,
3074,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-20,08:13:04,12,COGHLAN,"PEREZ, ROQUE",2720.0,-34.56284635131,-58.4724301632218,GCS Web,Masculino,Abierto,,
3075,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-20,07:08:24,13,NUÑEZ,CABILDO AV.,4399.0,-34.5438385613152,-58.471911338669,App BA 147,Masculino,Abierto,,
3076,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-20,09:40:15,12,SAAVEDRA,CABILDO AV.,4400.0,-34.5439597911793,-58.4721588830347,App BA 147,Masculino,Cerrado,23/08/2021,00:00:00
